epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.04528,3.95466,4.73759,2.0076,0,0,0,0,3.10268,4.35855,1.82665,0.000208333,0.000208333,0.000208333
2,13.4997,3.50246,4.4496,1.79494,0.00023,0.0051,4e-05,2e-05,2.79447,4.21602,1.49456,0.000618813,0.000618813,0.000618813
3,20.1581,3.01108,4.27947,1.57104,0.00023,0.0051,4e-05,2e-05,2.79447,4.21602,1.49456,0.00102104,0.00102104,0.00102104
4,26.4777,2.84369,3.93211,1.46448,0.00129,0.01493,0.0029,0.00072,3.16305,4.21968,1.73755,0.00121287,0.00121287,0.00121287
