epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,204.892,1.15099,0.65498,0.87377,0.91008,0.88526,0.93421,0.67907,0.88123,0.59294,0.86575,0.00104231,0.00104231,0.00104231
43,209.793,1.12984,0.65313,0.87122,0.90538,0.88462,0.94556,0.69757,0.85216,0.56603,0.8625,0.00103288,0.00103288,0.00103288
44,214.829,1.12548,0.64588,0.86883,0.92377,0.89528,0.95393,0.70842,0.83757,0.55331,0.86712,0.00102345,0.00102345,0.00102345
45,219.787,1.09711,0.63455,0.86688,0.93117,0.8931,0.94718,0.72098,0.80911,0.54874,0.86359,0.00101402,0.00101402,0.00101402
46,224.723,1.04518,0.61979,0.86226,0.92804,0.89022,0.95451,0.72011,0.80295,0.53686,0.85968,0.00100459,0.00100459,0.00100459
47,229.686,1.08523,0.63383,0.87372,0.93329,0.87213,0.94501,0.6998,0.83852,0.57559,0.86487,0.000995156,0.000995156,0.000995156
48,234.511,1.06887,0.6258,0.86259,0.93454,0.89254,0.94748,0.70739,0.81596,0.55061,0.86238,0.000985724,0.000985724,0.000985724
49,239.451,1.07885,0.62707,0.86501,0.92292,0.8863,0.95414,0.7096,0.81081,0.54676,0.85876,0.000976293,0.000976293,0.000976293
50,244.512,1.06126,0.61384,0.86132,0.93433,0.89021,0.94704,0.7056,0.82705,0.55016,0.86231,0.000966861,0.000966861,0.000966861
51,249.365,1.05841,0.61658,0.86699,0.94953,0.87431,0.94557,0.71205,0.81002,0.53541,0.85782,0.00095743,0.00095743,0.00095743
52,253.976,1.04862,0.61495,0.86618,0.9266,0.89227,0.94937,0.7101,0.81991,0.54703,0.85943,0.000947999,0.000947999,0.000947999
53,258.888,1.06645,0.61892,0.85921,0.93254,0.89306,0.95388,0.70834,0.82953,0.55116,0.86467,0.000938567,0.000938567,0.000938567
54,263.695,1.04002,0.60309,0.86169,0.92826,0.88414,0.95061,0.71408,0.80802,0.54895,0.8574,0.000929136,0.000929136,0.000929136
55,268.55,1.03383,0.6056,0.8608,0.93302,0.87728,0.94682,0.70631,0.81579,0.53791,0.85352,0.000919704,0.000919704,0.000919704
56,273.489,1.05672,0.61144,0.8566,0.93367,0.89679,0.95096,0.72018,0.78952,0.52716,0.85217,0.000910273,0.000910273,0.000910273
57,278.274,1.05425,0.60834,0.8621,0.93513,0.89692,0.95298,0.72875,0.77967,0.52545,0.85494,0.000900842,0.000900842,0.000900842
