epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,254.642,1.70287,1.54009,1.07955,0.67733,0.37094,0.49481,0.22605,1.90637,2.1766,1.16669,0.000742625,0.000742625,0.000742625
43,260.595,1.75465,1.57601,1.0736,0.67733,0.37094,0.49481,0.22605,1.90637,2.1766,1.16669,0.00073025,0.00073025,0.00073025
44,266.734,1.74313,1.47885,1.06264,0.63203,0.45863,0.515,0.25006,1.78646,2.0775,1.13345,0.000717875,0.000717875,0.000717875
45,272.653,1.64114,1.5456,1.04771,0.63203,0.45863,0.515,0.25006,1.78646,2.0775,1.13345,0.0007055,0.0007055,0.0007055
46,278.624,1.65497,1.58648,1.05589,0.60235,0.48757,0.54576,0.28154,1.68404,2.01524,1.1057,0.000693125,0.000693125,0.000693125
47,284.577,1.62724,1.44767,1.05412,0.60235,0.48757,0.54576,0.28154,1.68404,2.01524,1.1057,0.00068075,0.00068075,0.00068075
48,290.596,1.68464,1.50892,1.02899,0.59727,0.5298,0.55874,0.29633,1.63237,1.96311,1.10229,0.000668375,0.000668375,0.000668375
49,296.541,1.62944,1.44119,1.03368,0.59727,0.5298,0.55874,0.29633,1.63237,1.96311,1.10229,0.000656,0.000656,0.000656
50,302.643,1.70931,1.49384,1.04652,0.61184,0.56833,0.58194,0.31594,1.63248,1.88708,1.10384,0.000643625,0.000643625,0.000643625
51,308.571,1.6448,1.43221,1.03722,0.61184,0.56833,0.58194,0.31594,1.63248,1.88708,1.10384,0.00063125,0.00063125,0.00063125
52,314.703,1.67277,1.40615,1.03668,0.5962,0.58157,0.58481,0.31024,1.66807,1.86697,1.10124,0.000618875,0.000618875,0.000618875
53,320.683,1.6769,1.49139,1.03661,0.5962,0.58157,0.58481,0.31024,1.66807,1.86697,1.10124,0.0006065,0.0006065,0.0006065
54,326.8,1.58173,1.39212,1.01541,0.53908,0.57988,0.56832,0.2927,1.65218,1.85889,1.08935,0.000594125,0.000594125,0.000594125
55,333.006,1.67498,1.33598,1.00174,0.53908,0.57988,0.56832,0.2927,1.65218,1.85889,1.08935,0.00058175,0.00058175,0.00058175
56,339.262,1.63062,1.42058,1.01779,0.51801,0.61787,0.56487,0.29188,1.6114,1.80951,1.07543,0.000569375,0.000569375,0.000569375
57,345.432,1.52437,1.38742,1.01309,0.51801,0.61787,0.56487,0.29188,1.6114,1.80951,1.07543,0.000557,0.000557,0.000557
58,351.722,1.57815,1.32345,0.98554,0.53102,0.63615,0.56953,0.3019,1.59735,1.75786,1.0722,0.000544625,0.000544625,0.000544625
59,357.807,1.57407,1.3276,1.01378,0.53102,0.63615,0.56953,0.3019,1.59735,1.75786,1.0722,0.00053225,0.00053225,0.00053225
60,363.944,1.74565,1.32278,0.98935,0.56934,0.64051,0.58438,0.31438,1.58388,1.69435,1.06927,0.000519875,0.000519875,0.000519875
61,370.131,1.59223,1.38726,1.02043,0.56934,0.64051,0.58438,0.31438,1.58388,1.69435,1.06927,0.0005075,0.0005075,0.0005075
62,376.58,1.5626,1.3389,1.00613,0.55985,0.62734,0.60209,0.33326,1.57302,1.6595,1.06634,0.000495125,0.000495125,0.000495125
63,382.901,1.67246,1.26383,0.9774,0.55985,0.62734,0.60209,0.33326,1.57302,1.6595,1.06634,0.00048275,0.00048275,0.00048275
64,388.86,1.56392,1.36928,0.99518,0.58282,0.57513,0.59836,0.32416,1.64056,1.64778,1.069,0.000470375,0.000470375,0.000470375
65,395.049,1.61842,1.40986,1.03365,0.58282,0.57513,0.59836,0.32416,1.64056,1.64778,1.069,0.000458,0.000458,0.000458
66,401.63,1.67675,1.34972,0.97081,0.56562,0.5751,0.59709,0.3196,1.66194,1.6235,1.07205,0.000445625,0.000445625,0.000445625
67,407.891,1.60636,1.43076,1.00219,0.56562,0.5751,0.59709,0.3196,1.66194,1.6235,1.07205,0.00043325,0.00043325,0.00043325
68,414.2,1.58517,1.29543,0.99891,0.57026,0.59392,0.59858,0.32582,1.61101,1.59913,1.07247,0.000420875,0.000420875,0.000420875
69,420.422,1.60937,1.42337,0.99513,0.57026,0.59392,0.59858,0.32582,1.61101,1.59913,1.07247,0.0004085,0.0004085,0.0004085
70,426.612,1.59197,1.37966,0.99824,0.60115,0.60915,0.60837,0.33618,1.55444,1.58807,1.06507,0.000396125,0.000396125,0.000396125
71,432.777,1.48531,1.2753,1.01195,0.60115,0.60915,0.60837,0.33618,1.55444,1.58807,1.06507,0.00038375,0.00038375,0.00038375
72,439.02,1.54904,1.27524,0.96488,0.59067,0.62479,0.62383,0.33746,1.55209,1.59229,1.06179,0.000371375,0.000371375,0.000371375
73,445.179,1.63766,1.35398,0.97495,0.59067,0.62479,0.62383,0.33746,1.55209,1.59229,1.06179,0.000359,0.000359,0.000359
74,451.249,1.6267,1.30169,0.98171,0.57781,0.63311,0.62733,0.34319,1.54794,1.59357,1.05835,0.000346625,0.000346625,0.000346625
75,457.269,1.45868,1.25032,0.98891,0.57781,0.63311,0.62733,0.34319,1.54794,1.59357,1.05835,0.00033425,0.00033425,0.00033425
76,463.52,1.45783,1.23639,0.99568,0.58986,0.61181,0.63688,0.35939,1.51772,1.54291,1.05506,0.000321875,0.000321875,0.000321875
77,469.607,1.50253,1.21731,0.98352,0.58986,0.61181,0.63688,0.35939,1.51772,1.54291,1.05506,0.0003095,0.0003095,0.0003095
78,475.726,1.48982,1.24044,0.98308,0.62315,0.62928,0.64159,0.36079,1.49437,1.49122,1.05293,0.000297125,0.000297125,0.000297125
79,481.797,1.55512,1.26661,0.98365,0.62315,0.62928,0.64159,0.36079,1.49437,1.49122,1.05293,0.00028475,0.00028475,0.00028475
80,487.881,1.49409,1.19436,0.96349,0.64066,0.64253,0.65343,0.37533,1.51614,1.44563,1.05086,0.000272375,0.000272375,0.000272375
81,493.973,1.55242,1.21963,0.96694,0.64066,0.64253,0.65343,0.37533,1.51614,1.44563,1.05086,0.00026,0.00026,0.00026
82,499.997,1.47723,1.26514,0.99116,0.68046,0.62916,0.65734,0.37884,1.54326,1.41909,1.05164,0.000247625,0.000247625,0.000247625
83,506.037,1.45978,1.24112,0.9699,0.68046,0.62916,0.65734,0.37884,1.54326,1.41909,1.05164,0.00023525,0.00023525,0.00023525
84,512.225,1.48277,1.28133,0.9763,0.68499,0.61925,0.65627,0.37721,1.54438,1.40035,1.04963,0.000222875,0.000222875,0.000222875
85,518.346,1.48778,1.21273,0.97559,0.68499,0.61925,0.65627,0.37721,1.54438,1.40035,1.04963,0.0002105,0.0002105,0.0002105
86,524.612,1.48206,1.23766,0.98514,0.68783,0.61713,0.65634,0.37576,1.53144,1.39594,1.05071,0.000198125,0.000198125,0.000198125
87,530.723,1.44395,1.24457,0.96199,0.68783,0.61713,0.65634,0.37576,1.53144,1.39594,1.05071,0.00018575,0.00018575,0.00018575
88,537.025,1.4464,1.23058,0.97432,0.68586,0.61995,0.65798,0.38001,1.51069,1.38091,1.05251,0.000173375,0.000173375,0.000173375
89,543.44,1.39785,1.21556,0.96439,0.68586,0.61995,0.65798,0.38001,1.51069,1.38091,1.05251,0.000161,0.000161,0.000161
90,549.941,1.54609,1.37231,0.97706,0.72683,0.6249,0.66443,0.38856,1.48871,1.36865,1.0508,0.000148625,0.000148625,0.000148625
91,556.132,1.41834,1.5369,1.00079,0.72683,0.6249,0.66443,0.38856,1.48871,1.36865,1.0508,0.00013625,0.00013625,0.00013625
92,562.003,1.45241,1.42913,0.99347,0.71226,0.64317,0.66861,0.39374,1.46963,1.36144,1.0458,0.000123875,0.000123875,0.000123875
93,567.872,1.36254,1.42942,0.97063,0.71226,0.64317,0.66861,0.39374,1.46963,1.36144,1.0458,0.0001115,0.0001115,0.0001115
94,573.906,1.38687,1.39694,0.97282,0.69974,0.65146,0.67645,0.39991,1.45771,1.36843,1.04308,9.9125e-05,9.9125e-05,9.9125e-05
95,579.838,1.41629,1.3879,0.99561,0.69974,0.65146,0.67645,0.39991,1.45771,1.36843,1.04308,8.675e-05,8.675e-05,8.675e-05
96,585.869,1.46237,1.40476,0.96684,0.69522,0.65793,0.67975,0.39924,1.45816,1.38145,1.04154,7.4375e-05,7.4375e-05,7.4375e-05
97,592.174,1.35129,1.28783,0.97463,0.69522,0.65793,0.67975,0.39924,1.45816,1.38145,1.04154,6.2e-05,6.2e-05,6.2e-05
98,598.297,1.37278,1.38932,0.9697,0.68359,0.66481,0.69115,0.3973,1.45786,1.38967,1.03891,4.9625e-05,4.9625e-05,4.9625e-05
99,604.324,1.6397,1.4955,0.96821,0.68359,0.66481,0.69115,0.3973,1.45786,1.38967,1.03891,3.725e-05,3.725e-05,3.725e-05
100,610.303,1.48242,1.3847,0.98857,0.66502,0.66956,0.69092,0.3974,1.45612,1.3954,1.03905,2.4875e-05,2.4875e-05,2.4875e-05
